Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
12/02/2025 20:09:30,12/02/2025,07:00:00,Culto,Culto de Quarta,Pr Eduardo ,Os Milagres de Jesus ,SIM,O Milagre da Ressurreição ,43,67,28,06,22,
09/02/2025 20:10:57,09/02/2025,19:00:00,Culto,Culto de Celebração,Pr. Eduardo Alexandre , A prova ,SIM,Uma vida abençoada ,82,117,50,13,39,
05/02/2025 20:13:00,05/02/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo,Seja Produtivo,SIM,Os Milagres de Jesus,42,63,25,6,21,
02/02/2025 20:22:54,02/02/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo,2025 O Ano do favor de Deus,SIM,Uma vida Abençoada ,87,151,50,13,46,
29/01/2025 20:01:44,29/01/2025,19:00:00,Culto,Culto de Quarta,Pr. Eduardo,A Cura é para você,SIM,Os milagres de Jesus,38,74,29,9,25,
26/01/2025 20:35:48,26/01/2025,19:00:00,Culto,Culto de Celebração,Pr Eduardo,A SUPREMA RIQUEZA DA SUA GRAÇA ,SIM,O ANO DO FAVOR DE DEUS 2025,74,118,41,12,36,
22/01/2025 20:12:32,22/01/2025,19:00:00,Culto,Culto de Quarta,Pr Eduardo ,Jesus Acalma a Tempestade ,SIM,Os Milagres de Jesus ,44,62,25,5,25,
19/01/2025 20:01:22,19/01/2025,19:00:00,Culto,Culto de Celebração,Pastor Kayton,Tu sempre estas comigo,SIM,Favor de Deus ,70,135,41,13,37,
15/01/2025 20:17:31,15/01/2025,19:00:00,Culto,Culto de Quarta,Pastor Klayton de Souza,A pesca maravilhosa ,SIM,Os milagres de Jesus ,28,49,4,15,21,
12/01/2025 20:12:24,12/01/2025,19:00:00,Culto,Culto de Celebração,Pastor Eduardo ,Tudo que é meu é teu,SIM,O Ano do Favor de Deus,90,157,48,08,37,
