Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
15/06/2025 10:41:41,15/06/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Um Lar Acima das Tempestades ,SIM,Família para Deus ,37,55,19,2,21,Apelo-  2
15/06/2025 21:49:38,15/06/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Um Lar Acima das Tempestades ,SIM,Família para Deus ,34,46,10,4,25,
15/06/2025 21:52:37,15/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Um Lar Acima das Tempestades ,SIM,Família para Deus ,47,65,26,11,27,
18/06/2025 22:35:10,18/06/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Livre ,SIM,Ele veio para libertar os cativos ,30,66,17,6,22,
22/06/2025 11:03:24,22/06/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Lute pela sua Casa,SIM,Família para Deus ,32,44,9,0,21,
22/06/2025 21:46:43,22/06/2025,17:00:00,Culto,Culto de Celebração,Pastor Alberto ,Lute pela sua Casa,SIM,Família para Deus ,30,53,9,1,24,
22/06/2025 21:49:11,22/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Alberto ,Lute pela sua Casa ,SIM,Família para Deus ,64,92,35,16,24,
25/06/2025 21:20:35,25/06/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Quebrando os cativos ,SIM,Ele veio para libertar os cativos ,38,48,11,0,25,Apelo-  1
29/06/2025 10:57:34,29/06/2025,08:30:00,Culto,Culto de Celebração,Pastora Cida,A Benção no Lar pela Presença de Deus ,SIM,Família para Deus ,40,59,18,0,18,Apelo-  3
29/06/2025 22:10:22,29/06/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,A Benção no Lar pela Presença de Deus ,SIM,Família para Deus ,23,42,8,0,33,
29/06/2025 22:12:52,29/06/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,A Benção no Lar pela Presença de Deus ,SIM,Família para Deus ,42,74,26,10,33,Apelo-  4
02/07/2025 22:27:55,02/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Livre ,SIM,Ele veio para libertar os cativos ,32,58,24,7,23,Apelo-  1
06/07/2025 11:53:03,06/07/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Gerando Milagres ,SIM,Gerando Milagres ,42,50,17,1,30,
06/07/2025 21:24:10,06/07/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Gerando Milagres ,SIM,Gerando Milagres ,32,63,5,3,36,
06/07/2025 21:29:52,06/07/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Gerando Milagres ,SIM,Gerando Milagres ,67,87,37,12,37,
09/07/2025 22:13:20,09/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Livre parte 2,SIM,Ele veio para libertar os cativos ,35,54,16,2,17,
10/07/2025 22:30:23,10/07/2025,19:30:00,Culto Especial,Culto de Celebração,Pastor Messias ,Eu me importo com você. Provérbios 17:17,NÃO,,96,163,31,6,35,Apelo-  39
13/07/2025 11:32:39,13/07/2025,08:30:00,Culto,Culto de Celebração,Pastor Edson Ortega ,Agentes de Milagres ,SIM,Gerando Milagres ,26,44,8,0,24,
13/07/2025 21:23:50,13/07/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Agentes de Milagres ,SIM,Gerando Milagres ,32,34,9,5,20,
13/07/2025 21:26:22,13/07/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Agentes de Milagres ,SIM,Gerando Milagres ,49,64,19,11,21,
16/07/2025 20:38:54,16/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,Seja Livre parte-3,SIM,Ele veio para libertar os cativos ,32,56,17,4,18,
20/07/2025 10:59:07,20/07/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Ativando Milagres ,SIM,Gerando Milagres ,31,40,10,0,17,
20/07/2025 21:29:47,20/07/2025,17:00:00,Culto,Culto de Celebração,Pastora Cida,Ativando Milagres ,SIM,Gerando Milagres ,25,44,11,3,27,
20/07/2025 21:32:52,20/07/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Ativando Milagres ,SIM,Gerando Milagres ,58,81,17,10,32,Apelo-  7
23/07/2025 21:03:44,23/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Livre. Parte-4,SIM,Ele veio para libertar os cativos ,44,77,21,5,26,
26/07/2025 00:42:28,25/07/2025,22:00:00,Oração,Noite de Avivamento,Pastor Messias ,Sedento de Deus ,NÃO,,26,36,0,0,8,
27/07/2025 10:35:12,27/07/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Seja Protagonista de Milagres ,SIM,Gerando Milagres ,30,48,14,3,20,Apelo-  1
27/07/2025 20:31:09,27/07/2025,17:00:00,Culto,Culto de Celebração,Pastora Cida ,Seja Protagonista de Milagres ,SIM,Gerando Milagres ,28,33,7,5,23,
27/07/2025 20:33:36,27/07/2025,19:00:00,Culto,Culto de Celebração,Pastora Cida ,Seja Protagonista de Milagres ,SIM,Gerando Milagres ,62,67,26,9,28,
30/07/2025 21:04:38,30/07/2025,19:00:00,Culto,Culto de Quarta,Pastor Messias ,Seja Livre Parte-5,SIM,Ele veio para libertar os cativos ,44,72,23,5,29,
03/08/2025 11:07:43,03/08/2025,08:30:00,Culto,Culto de Celebração,Pastor Messias ,Deus Pai ,SIM,Paternidade Orfandade ,37,42,14,4,37,
03/08/2025 21:11:44,03/08/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Deus Pai,SIM,Paternidade Orfandade ,31,63,12,7,32,
03/08/2025 21:14:42,03/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Deus Pai,SIM,Paternidade Orfandade ,57,79,33,13,35,Apelo-  2
06/08/2025 22:29:00,06/08/2025,19:00:00,Culto,Culto de Quarta,Pastor Alberto ,Quebrando Correntes Espirituais ,SIM,Ele veio para libertar os cativos ,40,66,18,0,34,
10/08/2025 11:02:06,10/08/2025,08:30:00,Culto,Culto de Celebração,Pastora Cida ,Família Biológica ,SIM,Paternidade Orfandade ,28,34,16,3,18,
10/08/2025 21:09:07,10/08/2025,17:00:00,Culto,Culto de Celebração,Pastor Messias ,Família Biológica ,SIM,Paternidade Orfandade ,38,60,7,5,19,
10/08/2025 21:12:34,10/08/2025,19:00:00,Culto,Culto de Celebração,Pastor Messias ,Família Biológica ,SIM,Paternidade Orfandade ,50,61,26,9,22,
