Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
20/05/2026 19:42:32,20/05/2026,19:00:00,Culto,Culto de Celebração,Pastora Ana Lúcia ,Jesus que cura,SIM,Campanha curas e milagres ,30,45,15,2,19,
24/05/2026 09:42:19,24/05/2026,08:30:00,Culto,Culto de Celebração,Pastora janister,Primeiro frutos e impactos da gratidão ,SIM,40 dias de prosperidade bíblica ,39,60,19,03,21,Entre adultos e baby kids e pastores 140
24/05/2026 11:47:26,24/05/2026,10:30:00,Culto,Culto de Celebração,Rafael,Os primeiros frutos e o impacto da gratidão ,SIM,40 dias de prosperidade Bíblica ,17,43,16,4,27,
24/05/2026 18:05:17,24/05/2026,17:00:00,Culto,Culto de Celebração,Pr Vagno,Os primeiros frutos e o impacto da gratidão ,SIM,40 dias de prosperidade bíblica ,28,68,23,1,25,
24/05/2026 20:04:28,24/05/2016,19:00:00,Culto,Culto de Celebração,Pr Carlos Canto,Os Primeiros Frutos e o Impacto da Gratidão ,SIM,40 Dias de Prosperidade Bíblica ,17,31,12,3,19,
27/05/2026 19:46:10,27/05/2026,19:00:00,Culto,Culto de Quarta,Bispo Clodoilson ,Seja protagonista do se milagre ,SIM,Campanha de curas e milagres,26,39,15,2,20,
31/05/2026 09:58:14,31/05/2026,08:30:00,Culto,Outros,Pastora Ana,Liberdade espiritual e famílias abençoadas,SIM,40 dias de prosperidade bíblica ,42,69,20,0,23,
31/05/2026 18:23:17,31/05/2026,17:00:00,Culto,Culto de Celebração,Pra.Ana Lúcia,Liberdade Espiritual e Familias Abencoadas,SIM,40 dias de Prosperidade Bíblica,38,56,22,4,27,Relevanteen :18 Voluntários :2
31/05/2026 22:51:11,31/05/2026,19:00:00,Culto,Culto de Celebração,Pastora Ana lucia ,Liberdade Espiritual e familia abençoada ,SIM,40 dias prosperidade bibica,26,41,11,03,20,Entre adultos e pastores baby e kids 108
03/06/2026 21:18:42,03/06/2026,19:00:00,Culto,Culto de Celebração,Bispo Clodoilson ,Por esta causa me coloco de joelhos,NÃO,,34,59,17,02,19,Entre adultos e pastores baby e kidis total de 131
